code,Latitude,Longitude,State,inventory
AL,32.6010112,-86.6807365,Alabama,13293
AK,61.3025006,-158.7750198,Alaska,1663
AZ,34.1682185,-111.930907,Arizona,22464
AR,34.7519275,-92.1313784,Arkansas,6952
CA,37.2718745,-119.2704153,California,80468
CO,38.9979339,-105.550567,Colorado,23004
CT,41.5187835,-72.757507,Connecticut,10906
DE,39.145251,-75.4189206,Delaware,2418
DC,38.8993487,-77.0145666,District of Columbia,25
FL,27.9757279,-83.8330166,Florida,73313
GA,32.6781248,-83.2229757,Georgia,39623
HI,20.46,-157.505,Hawaii,2995
ID,45.4945756,-114.1424303,Idaho,3501
IL,39.739318,-89.504139,Illinois,38680
IN,39.7662195,-86.441277,Indiana,16465
IA,41.9383166,-93.389798,Iowa,4840
KS,38.4987789,-98.3200779,Kansas,7894
KY,37.8222935,-85.7682399,Kentucky,13691
LA,30.9733766,-91.4299097,Louisiana,8528
ME,45.2185133,-69.0148656,Maine,1920
MD,38.8063524,-77.2684162,Maryland,17707
MA,42.0629398,-71.718067,Massachusetts,17990
MI,44.9435598,-86.4158049,Michigan,10328
MN,46.4418595,-93.3655146,Minnesota,10996
MS,32.5851062,-89.8772196,Mississippi,6242
MO,38.3046615,-92.437099,Missouri,16165
MT,46.6797995,-110.044783,Montana,1984
NE,41.5008195,-99.680902,Nebraska,4924
NV,38.502032,-117.0230604,Nevada,6887
NH,44.0012306,-71.5799231,New Hampshire,5694
NJ,40.1430058,-74.7311156,New Jersey,27852
NM,34.1662325,-106.0260685,New Mexico,4729
NY,40.7056258,-73.97968,New York,27932
NC,35.2145629,-79.8912675,North Carolina,37530
ND,47.4678819,-100.3022655,North Dakota,1092
OH,40.1903624,-82.6692525,Ohio,23311
OK,35.3097654,-98.7165585,Oklahoma,9584
OR,44.1419049,-120.5380993,Oregon,10352
PA,40.9945928,-77.6046984,Pennsylvania,28130
RI,41.5827282,-71.5064508,Rhode Island,1858
SC,33.62505,-80.9470381,South Carolina,9790
SD,44.2126995,-100.2471641,South Dakota,1267
TN,35.830521,-85.9785989,Tennessee,19166
TX,31.1693363,-100.0768425,Texas,94654
UT,39.4997605,-111.547028,Utah,10418
VT,43.8717545,-72.4477828,Vermont,1123
VA,38.0033855,-79.4587861,Virginia,35259
WA,38.8993487,-77.0145665,Washington,23149
WV,38.9201705,-80.1816905,West Virginia,1501
WI,44.7862968,-89.8267049,Wisconsin,11255
WY,43.000325,-107.5545669,Wyoming,610
